regionID	constellationID	solarSystemID	solarSystemName	x	y	z	xMin	xMax	yMin	yMax	zMin	zMax	luminosity	border	fringe	corridor	hub	international	regional	constellation	security	factionID	radius	sunTypeID	securityClass
10000001	20000001	30000001	Tanoo	-8.85107925999806E+16	4.23694439668789E+16	-4.45135253464797E+16	-8.85119031484906E+16	-8.85092564717606E+16	4.23692979274891E+16	4.23696457492639E+16	4.45130363558928E+16	4.45141116897829E+16	0.01575	1	0	0	1	1	1	1	0.858324068848468	NULL	1323338364984	3802	B
10000001	20000001	30000002	Lashesih	-1.03300968263126E+17	4.17075035682699E+16	-2.98563041297951E+16	-1.03301565089828E+17	-1.0329952828984E+17	4.17074675667278E+16	4.17075904134266E+16	2.9856173282507E+16	2.9856912011988E+16	0.01282	1	0	1	0	1	1	1	0.751689146697987	NULL	1018399993728	3798	B
10000001	20000001	30000003	Akpivem	-9.11741411330753E+16	4.39382274862472E+16	-5.64828243833399E+16	-9.11782873636035E+16	-9.11733406386052E+16	4.39381857193953E+16	4.39384441933804E+16	5.64812675379105E+16	5.64836557153905E+16	0.6213	1	0	0	1	0	0	1	0.846292352426726	NULL	2473362499136	3799	B
10000001	20000001	30000004	Jark	-9.36759263521789E+16	5.06042449623289E+16	-2.84035291069217E+16	-9.36773820850447E+16	-9.36754861508966E+16	5.06042017348087E+16	5.06043879147449E+16	2.84033083007049E+16	2.84068511253443E+16	0.3461	1	0	1	0	1	1	1	0.817000531228727	NULL	1771412319698	6	B
10000001	20000001	30000005	Sasta	-9.47821579619976E+16	4.31262473529033E+16	-3.1896707679918E+16	-9.47828662415355E+16	-9.47777383488237E+16	4.31261906057208E+16	4.31265976367388E+16	3.1892607357474E+16	3.1896947011689E+16	0.02403	1	0	0	1	0	0	1	0.814336728101234	NULL	2563946355912	3800	B
10000001	20000001	30000006	Zaid	-8.47921511388562E+16	5.23134557981793E+16	-5.70739345298823E+16	-8.479377331532E+16	-8.47903044314441E+16	5.23132435486263E+16	5.2313642323674E+16	5.70732534881294E+16	5.70755912232459E+16	0.02324	1	0	1	0	0	0	1	0.864229153396284	NULL	1734441937976	7	B
10000001	20000001	30000007	Yuzier	-9.03675090131102E+16	5.34477009309433E+16	-4.90403990377699E+16	-9.03684555898977E+16	-9.03658609773416E+16	5.34475873191982E+16	5.34478984944761E+16	4.90398364633128E+16	4.9040669843783E+16	0.01469	0	0	0	1	0	0	0	0.906555510469601	NULL	1297306278056	3800	B
10000001	20000001	30000008	Nirbhi	-9.15761035363885E+16	5.73328027393277E+16	-5.52550579645263E+16	-9.15795343022677E+16	-9.15743419252511E+16	5.73327758905019E+16	5.73328165227339E+16	5.52522194478972E+16	5.52596530446955E+16	0.03981	1	0	0	1	0	0	1	0.882115714763018	NULL	3716798399124	3800	B
10000001	20000002	30000009	Sooma	-8.40947311402152E+16	6.92059288041607E+16	-7.52260521388288E+16	-8.40957824832131E+16	-8.40929952959281E+16	6.92059200507117E+16	6.92059432718461E+16	7.52254640507815E+16	7.52291357093349E+16	0.01479	0	1	0	0	0	0	0	0.57781948156321	NULL	1835829276688	3800	B1
10000001	20000002	30000010	Chidah	-8.05888565201208E+16	6.16455572873768E+16	-7.97709316684619E+16	-8.05902078114442E+16	-8.05845392851849E+16	6.16453788306386E+16	6.1646127437224E+16	7.97691943811505E+16	7.97728102276548E+16	0.07498	0	0	0	1	0	0	0	0.539052013003089	NULL	2834263129672	8	B1
10000001	20000002	30000011	Shenela	-6.95754633348552E+16	5.71223254405147E+16	-8.06598352028446E+16	-6.95756365498846E+16	-6.95743144019683E+16	5.7122244402671E+16	5.71223376583145E+16	8.06578056394711E+16	8.06603967917197E+16	0.0138	1	0	1	0	0	0	1	0.456959354735403	NULL	1295576124296	3800	B1
10000001	20000002	30000012	Asabona	-8.87870782997732E+16	5.75303545139837E+16	-9.63090751039115E+16	-8.87913973900072E+16	-8.87862019096934E+16	5.75302555262732E+16	5.75308421921695E+16	9.63073906313018E+16	9.63135415347611E+16	0.7113	1	0	1	0	0	0	1	0.322884272450518	NULL	3075451729664	3799	B2
